id,title,venue,abstract,feild
1446,Turing computability with neural nets,Applied Mathematics Letters," This paper shows the existence of a nite neural network, made up of sigmoidal neurons, which simulates a universal Turing machine. It is composed of less than 105 synchronously evolving processors, interconnected linearly. High-order connections are not required. ",math
1447,Relative Frequencies of Generalized Simulated Annealing,Mathematics of Operations Research," We consider a class of non-homogeneous Markov chains arising in simulated annealing and related stochastic search algorithms. Using only elementary first principles, we analyze the convergence and rate of convergence of the relative frequencies of visits to states in the Markov chain. We describe in detail three examples, including the standard simulated annealing algorithm, to show how our framework applies to specific stochastic search algorithms-these examples have not previously been recognized to be sufficiently similar to share common analytical grounds. Our analysis, though elementary, provides the strongest samplepath convergence results to date for simulated annealing type Markov chains. Our results serve to illustrate that by taking a purely sample-path view, surprisingly strong statements can be made using only relatively elementary tools. OR/MS subject classification: Primary: Stochastic methods of optimization, Secondary: Simulation 1. Introduction For at least the last 20 years, there has been an interest in stochastic search algorithms for global optimization based on non-homogeneous Markov chains. The prime example is simulated annealing, first suggested for optimization by Kirkpatrick et al. [12] based on techniques of Metropolis et al. [14]. An early application to image processing was described by Geman and Geman [9]. The basic procedure in simulated annealing is to explore the search space by setting up a graph over the space and jumping from point (vertex) to point in this graph according to a non-homogeneous Markov chain. The non-homogeneity arises from the gradually decreasing probability of jumping from one point to a “worse” point in the course of the search (but such a jump also cannot be precluded, because of the need to “climb out” of “cups” around local minimizers). The speed at which this decrease in the transition probabilities occurs depends on a sequence called the “cooling schedule” (described in more detail in Section 3). ",math
1448,Stable effectivity functions and perfect graphs,Mathematical Social Sciences,"We consider the problem of characterizing the stability of effectivity functions (EFF), via a correspondence between game theoretic and well-known combinatorial concepts. To every EFF we assign a pair of hypergraphs, representing clique covers of two associated graphs, and obtain some necessary and some sufficient conditions for the stability of EFFs in terms of graph-properties. These conditions imply, for example, that to check the stability of an EFF is an NP-complete problem. We also translate some well-known conjectures of graph theory into game theoretic language and vice versa. ÂŠ Elsevier Science B.V.",math
1449,ScaLAPACK's MRRR algorithm,ACM Transactions on Mathematical Software," The sequential algorithm of Multiple Relatively Robust Representations, MRRR, can compute numerically orthogonal eigenvectors of an unreduced symmetric tridiagonal matrix T ∈ Rn×n with O(n2) cost. This paper describes the design of ScaLAPACK's parallel MRRR algorithm. One emphasis is on the critical role of the representation tree in achieving both numerical accuracy and parallel scalability. A second point concerns the favorable properties of this code: subset computation, the use of static memory, and scalability. Unlike ScaLAPACK's Divide & Conquer and QR, MRRR can compute subsets of eigenpairs at reduced cost. And in contrast to inverse iteration which can fail, it is guaranteed to produce a numerically satisfactory answer while maintaining memory scalability. ParEig, the parallel MRRR algorithm for PLAPACK, uses dynamic memory allocation. This is avoided by our code at marginal additional cost. We also use a different representation tree criterion that allows for more accurate computation of the eigenvectors but can make parallelization more difficult. ",math
1450,Comparing Mathematical Provers,Mathematical Knowledge Management," We compare ¯fteen systems for the formalizations of mathematics with the computer. We present several tables that list various properties of these programs. The three main dimensions on which we compare these systems are: the size of their library, the strength of their logic and their level of automation. We realize that many judgments in this paper are rather subjective. We apologize in advance to anyone whose system is misrepresented here. We would like to be noti¯ed by e-mail of any errors in this paper at <freek@cs.kun.nl>. ",math
1451,A Nonparametric Asymptotic Analysis of Inventory Planning with Censored Demand,Mathematics of Operations Research," We study stochastic inventory planning with lost sales and instantaneous replenishment, where contrary to the classical inventory theory, the knowledge of the demand distribution is not available. Furthermore, we observe only the sales quantity in each period, and lost sales are unobservable, that is, demand data are censored. The manager must make an ordering decision in each period based only on historical sales data. Excess inventory is either perishable or carried over to the next period. In this setting, we propose non-parametric adaptive policies that generate ordering decisions over time. We show that the T -period average expected cost of our policy differs from the benchmark newsvendor cost - the minimum expected cost that would have incurred if the manager had known the underlying demand distribution - by at most O(1/√T ). ",math
1452,Reorthogonalization and stable algorithms for updating the Gram-Schmidt factorization,Mathematics of Computation,"Numerically stable algorithms are given for updating the GramSchmidt QR factorization of an m x n matrix A (m > n) when A is modified by a matrix of rank one, or when a row or column is inserted or deleted. The algorithms require 0(mn) operations per update, and are based on the use of elementary two-by-two reflection matrices and the Gram-Schmidt process with reorthogonalization. An error analysis of the reorthogonalization process provides rigorous justification for the corresponding ALGOL procedures. ÂŠ 1976, American Mathematical Society.",math
1453,Families of algorithms related to the inversion of a Symmetric Positive Definite matrix,ACM Transactions on Mathematical Software," We study the high-performance implementation of the inversion of a Symmetric Positive Definite (SPD) matrix on architectures ranging from sequential processors to Symmetric MultiProcessors to distributed memory parallel computers. This inversion is traditionally accomplished in three “sweeps”: a Cholesky factorization of the SPD matrix, the inversion of the resulting triangular matrix, and finally the multiplication of the inverted triangular matrix by its own transpose. We state different algorithms for each of these sweeps as well as algorithms that compute the result in a single sweep. One algorithm outperforms the current ScaLAPACK implementation by 20-30 percent due to improved load-balance on a distributed memory architecture. Categories and Subject Descriptors: G.4 [Mathematical Software]: -Efficiency Additional Key Words and Phrases: linear algebra, libraries, symmetric positive definite, inversion ACM Transactions on Mathematical Software, Vol. V, No. N, Month 20YY, Pages 1-22. ",math
1454,"Centered L 2 -discrepancy of random sampling and Latin hypercube design, and construction of uniform designs",Mathematics of Computation,"In this paper properties and construction of designs under a centered version of the L2-discrepancy are analyzed. The theoretic expectation and variance of this discrepancy are derived for random designs and Latin hypercube designs. The expectation and variance of Latin hypercube designs are significantly lower than that of random designs. While in dimension one the unique uniform design is also a set of equidistant points, low-discrepancy designs in higher dimension have to be generated by explicit optimization. Optimization is performed using the threshold accepting heuristic which produces low discrepancy designs compared to theoretic expectation and variance.",math
1455,Newton’s method in Banach spaces,Proceedings of the American Mathematical Society," ROBERT G. BARTLE Presented to the Society, December 29, 1954; received by the editors October 21, 1954 and, in revised form, December 9, 1954. 1 This paper was written while the author was on Contract nonr 609(04) with the Office of Naval Research. 2 Numbers in brackets refer to the list of references at the end. ",math
1456,Solving the $p$-Laplacian on manifolds.,Proceedings of the American Mathematical Society," We prove in this paper that the equation pu + h = 0 on a p-hyperbolic manifold M has a solution with p-integrable gradient for any bounded measurable function h : M ! R with compact support. The p-Laplacian of a function f on a connected oriented Riemannian manifold without boundary M is de ned by pf = div(jrf jp−2rf ); it is the Euler-Lagrange operator associated with the functional RM jrf jp: A function u 2 Wl1o;cp(M ) is said to be a weak solution to the equation We introduce the p-Dirichlet space L1;p(M ) of functions u 2 Wl1o;cp(M ) admitting a weak gradient such that RM krukp < 1. In [2], the following result has been proved: Theorem 1. Suppose that M is p-parabolic, and let h 2 L1(M ) be a function such that RM h 6= 0. Then (1) has no weak solution u 2 L1;p(M ). ",math
1457,DB-HReduction: A data preprocessing algorithm for data mining applications,Applied Mathematics Letters," |Data preprocessing is an important and critical step in the data mining process and it has a huge impact on the success of a data mining project. In this paper, we present an algorithm DBHReduction, which discretizes or eliminates numeric attributes and generalizes or eliminates symbolic attributes very e±ciently and e®ectively. This algorithm greatly decreases the number of attributes and tuples of the data set and improves the accuracy and decreases the running time of the data mining algorithms in the later stage. °c 2003 Elsevier Science Ltd. All rights reserved. ",math
1458,A More Portable Fortran Random Number Generator,ACM Transactions on Mathematical Software,"A Fortran implementation of a random number generator is described which produces a sequence of random mtegers that is machine mdependent as long as the machme can represent all mtegers m the interval [formula omitted]. ÂŠ 1979, ACM. All rights reserved.",math
1459,Partially ordered topological spaces,Proceedings of the American Mathematical Society," 1. Introduction. In this paper we shall consider topological spaces endowed with a reflexive, transitive, binary relation, which, following Birkhoff [l],2 we shall call a quasi order. It will frequently be assumed that this quasi order is continuous in an appropriate sense (see §2) as well as being a partial order. Various aspects of spaces possessing a quasi order have been investigated by L. Nachbin [6; 7; 8], Birkhoff [l, pp. 38-41, 59-64, 80-82, as well as the papers cited on those pages], and the author [13]. In addition, Wallace [10] has employed an argument using quasi ordered spaces to obtain a fixed point theorem for locally connected continua. This paper is divided into three sections, the first of which is concerned with definitions and preliminary results. A fundamental result due to Wallace, which will have later applications, is proved. §3 is concerned with compactness and connectedness properties of chains contained in quasi ordered spaces, and §4 deals with fixed point theorems for quasi ordered spaces. As an application, a new theorem on fixed sets for locally connected continua is proved. This proof leans on a method first employed by Wallace [10]. The author wishes to acknowledge his debt and gratitude to Professor A. D. Wallace for his patient and encouraging suggestions during the preparation of this paper. ",math
1460,On look-ahead heuristics in disjunctive logic programming,Annals of Mathematics and Artificial Intelligence,"Disjunctive logic programming (DLP), also called answer set programming (ASP), is a convenient programming paradigm which allows for solving problems in a simple and highly declarative way. The language of DLP is very expressive and able to represent even problems of high complexity (every problem in the complexity class Σ2 P = NPNP. During the last decade, efficient systems supporting DLP have become available. Virtually all of these systems internally rely on variants of the Davis-Putnam procedure (for deciding propositional satisfiability [SAT]), combined with a suitable model checker. The heuristic for the selection of the branching literal (i.e., the criterion determining the literal to be assumed true at a given stage of the computation) dramatically affects the performance of a DLP system. While heuristics for SAT have received a fair deal of research, only little work on heuristics for DLP has been done so far. In this paper, we design, implement, optimize, and experiment with a number of heuristics for DLP. We focus on different look-ahead heuristics, also called ""dynamic heuristics"" (the DLP equivalent of unit propagation [UP] heuristics for SAT). These are branching rules where the heuristic value of a literal Q depends on the result of taking Q true and computing its consequences. We motivate and formally define a number of look-ahead heuristics for DLP programs. Furthermore, since look-ahead heuristics are computationally expensive, we design two techniques for optimizing the burden of their computation. We implement all the proposed heuristics and optimization techniques in DLV-the state-of-the-art implementation of disjunctive logic programming, and we carry out experiments, thoroughly comparing the heuristics and optimization techniques on a large number of instances of well-known benchmark problems. The results of these experiments are very interesting, showing that the proposed techniques significantly improve the performance of the DLV system. © 2008 Springer Science+Business Media B.V.",math
1461,A parallel splitting up method and its application to Navier-Stokes equations,Applied Mathematics Letters,"A parallel splitting-up method (or the so called alternating-direction method) is proposed in this paper. The method not only reduces the original linear and nonlinear problems into a series of one dimensional linear problems, but also enables us to compute all these one dimensional linear problems by parallel processors. Applications of the method to linear parabolic problem, steady state and nonsteady state Navier-Stokes problems are given. © 1991.",math
1462,Algorithm portfolio selection as a bandit problem with unbounded losses,Annals of Mathematics and Artificial Intelligence," We propose a method that learns to allocate computation time to a given set of algorithms, of unknown performance, with the aim of solving a given sequence of problem instances in a minimum time. Analogous meta-learning techniques are typically based on models of algorithm performance, learned during a separate of f line training sequence, which can be prohibitively expensive. We adopt instead an online approach, named GambleTA, in which algorithm performance models are iteratively updated, and used to guide allocation on a sequence of problem instances. GambleTA is a general method for selecting among two or more alternative algorithm portfolios. Each portfolio has its own way of allocating computation time to the available algorithms, possibly based on performance models, in which case its performance is expected to improve over time, as more runtime data becomes available. The resulting exploration-exploitation trade-off is represented as a bandit problem. In our previous work, the algorithms corresponded to the arms of the bandit, and allocations evaluated by the different portfolios were mixed, using a solver for the bandit problem with expert advice, but this required the setting of an arbitrary bound on algorithm runtimes, invalidating the optimal regret of the solver. In this paper, we propose a simpler version of GambleTA, in which the allocators correspond to the arms, such that a single portfolio is selected for each instance. The selection is represented as a bandit problem with partial information, and an unknown bound on losses. We devise a solver for this game, proving a bound on its expected regret. We present experiments based on results from several ",math
1463,A generalization of a class of test matrices,Mathematics of Computation," We consider matrices of the following form: Gn(ai, o2, • • •, a„_i, 61, &2,• • •, K) = (ßi.i), 1 á i, j S n, where ai, ■• •, a„-i, 61, • • ■, b„ are constants and ßi.i = bj , j à i; ßij = aj, j < i. We deduce in analytic form the determinant, inverse matrix, characteristic equation, and eigenvectors of G». Knowing these properties enables us to generate valuable test matrices by appropriately selecting the order and elements of (7„. ",math
1464,A Distributional Interpretation of Robust Optimization,Mathematics of Operations Research," Motivated by data-driven decision making and sampling problems, we investigate probabilistic interpretations of Robust Optimization (RO). We establish a connection between RO and Distributionally Robust Stochastic Programming (DRSP), showing that the solution to any RO problem is also a solution to a DRSP problem. Specifically, we consider the case where multiple uncertain parameters belong to the same fixed dimensional space, and find the set of distributions of the equivalent DRSP. The equivalence we derive enables us to construct RO formulations for sampled problems (as in stochastic programming and machine learning) that are statistically consistent, even when the original sampled problem is not. In the process, this provides a systematic approach for tuning the uncertainty set. The equivalence further provides a probabilistic explanation for the common shrinkage heuristic, where the uncertainty set used in a RO problem is a shrunken version of the original uncertainty set. ",math
1465,An analysis of stochastic shortest path problems,Mathematics of Operations Research," We consider a stochastic version of the classical shortest path problem whereby for each node of a graph, we must choose a probability distribution over the set of successor nodes so as to reach a certain destination node with minimum expected cost. The costs of transition between successive nodes can be positive as well as negative. We prove natural generalizations of the standard results for the deterministic shortest path problem, and we extend the corresponding theory for undiscounted finite state Markovian decision problems by removing the usual restriction that costs are either all nonnegative or all nonpositive. ",math
1466,Incomplete types for logic databases,Applied Mathematics Letters,"We propose to extend Horn-clause terms by invisibly associating them with incomplete types, that is, convenient representations of taxonomic information. We formally define typed logic databases and show their uses to reduce the length of the proofs needed to deduce some kinds of facts, to provide intensional replies, to perform quick semantic agreement verifications on natural language queries, and to achieve partial execution of some queries. ÂŠ 1991.",math
1467,A formal analysis of interest-based negotiation,Annals of Mathematics and Artificial Intelligence,"In multi-agent systems (MAS), negotiation provides a powerful metaphor for automating the allocation and reallocation of resources. Methods for automated negotiation in MAS include auction-based protocols and alternating offer bargaining protocols. Recently, argumentation-based negotiation has been accepted as a promising alternative to such approaches. Interest-based negotiation (IBN) is a form of argumentation-based negotiation in which agents exchange (1) information about their underlying goals; and (2) alternative ways to achieve these goals. However, the usefulness of IBN has been mostly established in the literature by appeal to intuition or by use of specific examples. In this paper, we propose a new formal model for reasoning about interest-based negotiation protocols. We demonstrate the usefulness of this framework by defining and analysing two different IBN protocols. In particular, we characterise conditions that guarantee their advantage (in the sense of expanding the set of individual rational deals) over the more classic proposal-based approaches to negotiation. © Springer Science + Business Media B.V. 2009.",math
1468,Abductive logic programming agents with destructive databases,Annals of Mathematics and Artificial Intelligence,"In this paper we present an agent language that combines agent functionality with a state transition theory and model-theoretic semantics. The language is based on abductive logic programming (ALP), but employs a simplified state-free syntax, with an operational semantics that uses destructive updates to manipulate a database, which represents the current state of the environment. The language builds upon the ALP combination of logic programs, to represent an agents beliefs, and integrity constraints, to represent the agents goals. Logic programs are used to define macro-actions, intensional predicates, and plans to reduce goals to sub-goals including actions. Integrity constraints are used to represent reactive rules, which are triggered by the current state of the database and recent agent actions and external events. The execution of actions and the assimilation of observations generate a sequence of database states. In the case of the successful solution of all goals, this sequence, taken as a whole, determines a model that makes the agents goals and beliefs all true. ÂŠ 2011 Springer Science+Business Media B.V.",math
1469,Complexity results for answer set programming with bounded predicate arities and implications,Annals of Mathematics and Artificial Intelligence," Answer set programming is a declarative programming paradigm rooted in logic programming and non-monotonic reasoning. This formalism has become a host for expressing knowledge representation problems, which reinforces the interest in efficient methods for computing answer sets of a logic program. The complexity of various reasoning tasks for general answer set programming has been amply studied and is understood quite well. In this paper, we present a language fragment in which the arities of predicates are bounded by a constant. Subsequently, we analyze the complexity of various reasoning tasks and computational problems for this fragment, comprising answer set existence, brave and cautious reasoning, and strong equivalence. Generally speaking, it turns out that the complexity drops significantly with respect to the full non-ground language, but is still harder than for the respective ground or propositional languages. These results have several implications, most importantly for solver implementations: Virtually all currently available solvers have exponential (in the size of the input) space requirements even for programs with bounded predicate arities, while our results indicate that for those programs polynomial space should be sufficient. This can be seen as a manifestation of the “grounding bottleneck” (meaning that programs are first instantiated and Some results in this paper have been presented in preliminary form at KR 2004 [15]. ",math
1470,Improved long-period generators based on linear recurrences modulo 2,ACM Transactions on Mathematical Software,"Fast uniform random number generators with extremely long periods have been defined and implemented based on linear recurrences modulo 2. The twisted GFSR and the Mersenne twister are famous recent examples. Besides the period length, the statistical quality of these generators is usually assessed via their equidistribution properties. The huge-period generators proposed so far are not quite optimal in this respect. In this article, we propose new generators of that form with better equidistribution and ""bit-mixing"" properties for equivalent period length and speed. The state of our new generators evolves in a more chaotic way than for the Mersenne twister. We illustrate how this can reduce the impact of persistent dependencies among successive output values, which can be observed in certain parts of the period of gigantic generators such as the Mersenne twister. © 2006 ACM.",math
1471,Precise asymptotics for a series of T. L. Lai,Proceedings of the American Mathematical Society,"Let X, X, X1, X2... be i.i.d. random variables with EX = 0, and set Sn = X1 + ... + Xn. We prove that, for 1 < p < 3/2, ε→lim σ√2p-3 √ ε2 - σ2 (2p - 2) ∑ n≥2np-2 P(|Sn| ≥ ε√ n log n) = σ √2/p - 1 under the assumption that EX2 = σ 2 and E[|X|2p (log+ |X|)-P] < ∞. Necessary and sufficient conditions for the convergence of the sum above were established by Lai (1974).",math
1472,On isometries of Euclidean spaces,Proceedings of the American Mathematical Society," 1. Introduction. A transformation of a Euclidean line onto itself which preserves unit distances is not necessarily an isometry. This is shown by the simple example of the transformation which displaces all integral points one unit in the same direction and leaves all other points fixed. On the other hand, we show in this paper that a transformation of Euclidean n-space En (2^»<«i) which preserves a single nonzero length must be a Euclidean (rigid) motion of En onto En. It is an immediate consequence that the result also holds for all finite-dimensional unitary spaces. For, if it were false for a unitary space of dimension n, then it would be false for a Euclidean space of dimension 2m. That this result fails for EK, the (real) Hubert space of infinite sequences of real numbers {X} = {(xi, x2, • • • )} where ]C<"" 1** exists, is shown by the following example. There is in E°° a denumerable and everywhere dense set of points. Let such a set be denoted by { 7<}. Define a transformation, R, of E™into { 7,} in such a way that the distance d(X, RX)<l/2. Also, define a transformation, S, on {7<} so that SYi=Af where Ai = (flu, a»2, • • •) and Oiy= 5iy21/s/2 (8,7is the Kronecker delta). It may be readily seen that T=SR is a transformation of Ex into itself which preserves the unit distance. For, if d(Xi, X2) = l, then RXi¿¿RX2, TXi^TXi, and therefore d(TXu TX2) = l. However, not all distances are preserved. For, if Ai and A2 are any two points in E°°, then d(TXu TX2) is either 0 or 1. ",math
1473,Proving a distribution-free generalization of the Condorcet Jury Theorem,Mathematical Social Sciences,"We provide a proof for a result due to Grofman, Owen and Feld (1982), a distribution-free generalization of the Condorcet Jury Theorem (1785). In proving this result we show exactly what distribution of individual competence maximizes/minimizes the judgmental accuracy of group majority decision processes. © 1989.",math
1474,The numerical integration of ordinary differential equations,Mathematics of Computation," Multistep methods for initial value problems are expressed in a matrix form. The application of such methods to higher-order equations is studied with the result that new techniques for both first- and higher-order equations are found. The direct approach to higher-order equations is believed to offer speed and accuracy advantages; some numerical evidence is presented. The new technique applied to first-order equations is a slight extension of the conventional multistep method and avoids the Dahlquist [2] stability theorem, that is, these new fc-step methods are of order 2fc and yet convergent. The matrix formalism introduced provides an easy mechanism for examining the equivalence of methods as introduced by Descloux [3]. It is pointed out that the new first-order method on k- steps, Adams' method on (2fc - l)-steps and Nordsieck's [7] method with 2fc components are equivalent to each other. In fact, all methods discussed can be placed in equivalence classes so that theorems need only be proved for one member of each class. The choice between the members of a class can be made on the basis of round-off errors and amount of computation only. Arguments are given in favor of the extension of Nordsieck's method for general use because of its speed and applicability to higher order problems directly. The theorems ensuring convergence and giving the asymptotic form of the error are stated. The proofs can be found in a cited report. ",math
1475,The complexity of Markov decision processes,Mathematics of Operations Research," Due to the condition of the original material, there are unavoidable flaws in this reproduction. We have made every effort possible to provide you with the best copy available. If you are dissatisfied with this product and find it unusable, please contact Document Services as soon as possible. ",math
1476,On the adoption of innovations with ‘network’ externalities,Mathematical Social Sciences,"We present a simple dynamic model of adoption of an innovation when there are network externalities, that is, when one agents benefit from adoption increases with the number of other adopters. We assume there is a continuum of differentiated potential adopters who are perfectly informed rational agents. Our main conclusion is that if network externalities are strong, then the equilibrium adoption path is discontinuous, even when there is no coordination between potential adopters. We also argue that a steep S-shaped adoption path can be interpreted as the approximation to a discontinuous point (catastrophe) of the equilibrium adoption path. © 1990.",math
1477,A representation theorem for continuous functions of several variables,Proceedings of the American Mathematical Society," Theorem. For any natural number », »^2, there exist real, monotonic increasing functions, hv(x), l^p^n, dependent on », and having the following properties: (i) The function Received by the editors September 16, 1963. 1 This note is part of the author's Ph.D. thesis (University of Maryland, 1963, directed by A. Douglis); its research was supported by the United States Air Force through the AFOSR under Contract No. AF 49(638)-590. ",math
1478,A polyhedral method for solving sparse polynomial systems,Mathematics of Computation,"A continuation method is presented for computing all isolated roots of a semimixed sparse system of polynomial equations. We introduce mixed subdivisions of Newton polytopes, and we apply them to give a new proof and algorithm for Bernsteins theorem on the expected number of roots. This results in a numerical homotopy with the optimal number of paths to be followed. In this homotopy there is one starting system for each cell of the mixed subdivision, and the roots of these starting systems are obtained by an easy combinatorial construction. © 1995 American Mathematical Society.",math
1479,Algorithms for hyperbolic quadratic eigenvalue problems,Mathematics of Computation,"We consider the quadratic eigenvalue problem (or the QEP) (λ2 + λB + C)x = 0, where A,B, and C are Hermitian with A positive definite. The QEP is called hyperbolic if (x*Bx)2 > 4(x*Ax)(x*Cx) for all nonzero z ∈ ℂn. We show that a relatively efficient test for hyperbolicity can be obtained by computing the eigenvalues of the QEP. A hyperbolic QEP is overdamped if B is positive definite and C is positive semidefinite. We show that a hyperbolic QEP (whose eigenvalues are necessarily real) is overdamped if and only if its largest eigenvalue is nonpositive. For overdamped QEPs, we show that all eigenpairs can be found efficiently by finding two solutions of the corresponding quadratic matrix equation using a method based on cyclic reduction. We also present a new measure for the degree of hyperbolicity of a hyperbolic QEP. © 2005 American Mathematical Society.",math
1480,Iterative Dutch combinatorial auctions,Annals of Mathematics and Artificial Intelligence, The combinatorial auction problem can be modeled as a weighted set packing problem. Similarly the reverse combinatorial auction can be modeled as a weighted set covering problem. We use the set packing and set covering formulations to suggest novel iterative Dutch auction algorithms for combinatorial auction problems. We use generalized Vickrey auctions (GVA) with reserve prices in each iteration. We derive worst case bounds for these algorithms. ,math
1481,Learning directed probabilistic logical models: ordering-search versus structure-search,Annals of Mathematics and Artificial Intelligence,"We discuss how to learn non-recursive directed probabilistic logical models from relational data. This problem has been tackled before by upgrading the structure-search algorithm initially proposed for Bayesian networks. In this paper we show how to upgrade another algorithm for learning Bayesian networks, namely ordering-search. For Bayesian networks, ordering-search was found to work better than structure-search. It is non-obvious that these results carry over to the relational case, however, since there ordering-search needs to be implemented quite differently. Hence, we perform an experimental comparison of these upgraded algorithms on four relational domains. We conclude that also in the relational case ordering-search is competitive with structure-search in terms of quality of the learned models, while ordering-search is significantly faster. © Springer Science+Business Media B.V. 2009.",math
1482,On the discrete logarithm problem in class groups of curves,Mathematics of Computation," We study the discrete logarithm problem in degree 0 class groups of curves over finite fields, with particular emphasis on curves of small genus. We prove that for every fixed g ≥ 2, the discrete logarithm problem in degree 0 2 class groups of curves of genus g can be solved in an expected time of O˜(q2− g ), where Fq is the ground field. This result generalizes a corresponding result for hyperelliptic curves given in imaginary quadratic representation with cyclic degree 0 class group, and just as this previous result, it is obtained via an index calculus algorithm with double large prime variation. Generalizing this result, we prove that for fixed g0 ≥ 2 the discrete logarithm problem in class groups of all curves C/Fq of genus g ≥ g0 can be solved in an expected time of O˜((qg) g20 (1− g10 )) and in an expected time of As a complementary result we prove that for any fixed n ∈ N with n ≥ 2 the discrete logarithm problem in the groups of rational points of elliptic curves over finite fields Fqn , q a prime power, can be solved in an expected time of 2 O˜(q2− n ). Furthermore, we give an algorithm for the efficient construction of a uniformly randomly distributed effective divisor of a specific degree, given the curve and its L-polynomial. ",math
1483,Polynomials with small Mahler measure,Mathematics of Computation," We describe several searches for polynomials with integer coefcients and small Mahler measure. We describe the algorithm used to test Mahler measures. We determine all polynomials with degree at most 24 and Mahler measure less than 1:3, test all reciprocal and antireciprocal polynomials with height 1 and degree at most 40, and check certain sparse polynomials with height 1 and degree as large as 181. We nd a new limit point of Mahler measures near 1:309, four new Salem numbers less than 1:3, and many new polynomials with small Mahler measure. None has measure smaller than that of Lehmer's degree 10 polynomial. ",math
1484,Embedding complex decision procedures inside an interactive theorem prover,Annals of Mathematics and Artificial Intelligence,"As is well known, it is important to enrich the basic deductive machinery of an interactive theorem prover with complex decision procedures. Previous work pointed out that one of the most difficult problems is the integration of these decision procedures with the rest of the system. In particular, they should be flexible enough to be effectively usable when building new proof strategies. This paper describes a hierarchical and modular structure of procedures which can be either invoked individually or jointly with the others. To each combination of procedures, there corresponds a proof strategy particularly effective for a given class of formulae. Moreover, the functionalities provided by the procedures can be exploited in an effective way by user-defined proof strategies, whose design and mechanization are therefore greatly simplified. The implementation of the procedures is described and the problems faced in embedding them inside the GETFOL system are discussed. © 1993 J.C. Baltzer AG, Science Publishers.",math
1485,Rate of convergence of Lawson’s algorithm,Mathematics of Computation,The algorithm of Charles L. Lawson determines uniform approximations offunctions as limits of weighted L2 approximations. Lawson noticed from experimental evidence that the algorithm seemed to converge linearly and convergence was related to a factor which was the ratio of the largest nonmaximum error of the best uniform approximation to the maximum error. This paper proves the linear convergence and explores the relation of the rate of convergence to this ratio. ÂŠ 1972 American Mathematical Society.,math
1486,On metric Ramsey-type phenomena,Annals of Mathematics," The main question studied in this article may be viewed as a nonlinear analogue of Dvoretzky's theorem in Banach space theory or as part of Ramsey theory in combinatorics. Given a finite metric space on n points, we seek its subspace of largest cardinality which can be embedded with a given distortion in Hilbert space. We provide nearly tight upper and lower bounds on the cardinality of this subspace in terms of n and the desired distortion. Our main theorem states that for any > 0, every n point metric space contains a subset log(1/ ) of size at least n1− which is embeddable in Hilbert space with O distortion. The bound on the distortion is tight up to the log(1/ ) factor. We further include a comprehensive study of various other aspects of this problem. ",math
1487,Algorithm 856: APPSPACK 4.0: asynchronous parallel pattern search for derivative-free optimization,ACM Transactions on Mathematical Software," APPSPACK is software for solving unconstrained and bound-constrained optimization problems. It implements an asynchronous parallel pattern search method that has been specifically designed for problems characterized by expensive function evaluations. Using APPSPACK to solve optimization problems has several advantages: No derivative information is needed; the procedure for evaluating the objective function can be executed via a separate program or script; the code can be run serially or in parallel, regardless of whether the function evaluation itself is parallel; and the software is freely available. We describe the underlying algorithm, data structures, and features of APPSPACK version 4.0, as well as how to use and customize the software. Categories and Subject Descriptors: J.2 [Computer Applications]: Physical Sciences and Engineering-Mathematics and statistics Additional Key Words and Phrases: Parallel derivative-free optimization, pattern search ",math
1488,A generalized Banach contraction principle that characterizes metric completeness,Proceedings of the American Mathematical Society,We prove a fixed point theorem that is a very simple generalization of the Banach contraction principle and characterizes the metric completeness of the underlying space. We also discuss the Meir-Keeler fixed point theorem. © 2007 American Mathematical Society.,math
1489,Locally Determined Logic Programs and Recursive Stable Models,Annals of Mathematics and Artificial Intelligence," In general, the set of stable models of a recursive logic program can be quite complex. For example, it follows from results of Marek, Nerode, and Remme [17] that there exists nite predicate logic programs and recursive propositional logic programs which have stable models but no hyperarithmetic stable models. In this paper, we shall de ne several conditions which ensure that a recursive propositional logic program P has a stable model which is of low complexity, that is, a recursive stable model, a polynomial time stable model, or a stable model which lies in a low level of the polynomial time hierarchy. ",math
1490,Some New Aspects of the Coupon Collector's Problem,SIAM Journal on Discrete Mathematics," We extend the classical coupon collector's problem to one in which two collectors are simultaneously and independently seeking collections of d coupons. We find, in finite terms, the probability that the two collectors finish at the same trial, and we find, using the methods of GesselViennot, the probability that the game has the following “ballot-like” character: the two collectors are tied with each other for some initial number of steps, and after that the player who first gains the lead remains ahead throughout the game. As a by-product we obtain the evaluation in finite terms of certain infinite series whose coefficients are powers and products of Stirling numbers of the second kind. We study the variant of the original coupon collector's problem in which a single collector wants to obtain at least h copies of each coupon. Here we give a simpler derivation of results of Newman and Shepp and extend those results. Finally we obtain the distribution of the number of coupons that have been obtained exactly once (“singletons”) at the conclusion of a successful coupon collecting sequence. ",math
